Effective date ,S&P 500 Energy ,S&P 500 Health Care ,S&P 500 Information Technology ,S&P 500 Communication Services ,S&P 500 Consumer Discretionary ,S&P 500 Consumer Staples ,S&P 500 Financials ,S&P 500 Industrials ,S&P 500 Materials ,S&P 500 Real Estate ,S&P 500 Utilities 
30/11/2010,-0.003832894,0.057653025,0.07870252,0.030298607,0.066134147,0.037824993,0.0463449,0.046594695,0.037662535,0.034459331,0.033819974
01/12/2010,2.9105135,1.8849036,2.2421641,1.445763,2.0479977,1.6314385,2.0861234,2.5933202,2.7722863,0.9318934,1.0962084
02/12/2010,1.3201044,0.6765672,1.2593177,1.0462147,1.3310345,0.0471143,2.6136536,1.5110894,1.4986132,1.7775477,0.3189182
03/12/2010,0.4473581,0.0892309,0.276368,0.0733736,0.2041789,0.023546,0.2950288,0.2881152,0.8594473,0.2967359,0.2861139
06/12/2010,0.2647566,-0.6769934,0.0701543,-0.0325866,-0.0067921,-0.2690342,-0.215718,-0.1778447,0.0218493,0.0338123,-0.4754961
07/12/2010,-0.2476818,-0.0056099,-0.0075113,0.3830169,-0.0441516,0.4214999,-0.034393,0.4522561,0.0699026,0.37181,-0.5032488
08/12/2010,-0.3180662,0.1206205,0.8763803,0,-0.0509667,0.2954904,1.8087093,-0.2865036,-0.8688059,-1.7258798,-0.460977
09/12/2010,0.294378,0.2381486,-0.0049644,1.0553661,-0.0203971,0.3481871,1.2938109,0.2360185,0.396371,-0.7110426,0.3409018
10/12/2010,0.3571429,0.9167901,0.5014273,0.6185733,0.3298198,0.1167718,0.8817081,1.030576,0.8378663,0.9145815,0.3974359
13/12/2010,0.7894629,0.0720122,-0.3210907,0.0718563,-0.5422442,0.0466542,-0.1228327,0.0101331,0.5220342,0.0341997,0.4597114
14/12/2010,-0.3145292,1.046193,0.0768144,1.5876815,-0.0102225,0.3830524,-0.9365688,0.4458104,0.0389492,-0.974359,0.2860048
15/12/2010,-0.659542,-0.3560766,-0.5496682,-0.6204351,-0.3884951,0.0995454,-0.849926,-0.4808177,-0.6878353,-1.1134127,-0.8809177
16/12/2010,0.7069527,0.7256934,0.2365184,0.2054686,0.766336,0.8651838,0.235974,1.125076,1.0628566,0.0174566,0.8759591
17/12/2010,-0.1444675,0.0463936,0.1217059,-0.3312303,0.108644,0.2300513,0.2786586,-0.3307607,0.732727,0.9599441,0.3422704
20/12/2010,0.707081,0.0627387,0.0669809,0.490584,0.6070678,-0.1409929,0.3737064,0.0100563,0.4193231,1.5645259,0.3663698
21/12/2010,0.8700579,-0.1553853,0.634653,0.1889764,0.5258722,-0.3611886,1.6324582,0.7340372,1.0183647,1.106383,-0.0503493
22/12/2010,0.4011875,0.1801999,-0.0369522,0.1886199,0.0838335,0.3921569,1.1037009,0.2628602,-0.004218,0.4461279,0.5100434
23/12/2010,0.2916966,0,-0.1675785,0.2588641,-0.3920123,-0.0262605,-0.7664793,-0.219029,0.388071,-0.410626,0.0751785
27/12/2010,-0.3625642,-0.2779898,0.1851395,0.2894922,-0.2926435,-0.4235619,0.9502856,0.1662953,-0.0252111,1.3547627,-0.037561
28/12/2010,0.4398592,0.0300629,-0.0172478,-0.0468092,-0.2260306,0.1582748,0.0278229,0.0929707,0.2900013,0.1079286,0.237976
29/12/2010,0.8002229,0.0546433,0.10104,0.0936622,0.2434489,-0.0098765,-0.2920588,-0.0464422,0.372978,0.33173,-0.2561539
